srl_key,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
734,Home & Cleaning,Cherry Blossom Wax Shoe Polish Dark Tan,68,5,6,64,40,FALSE,40
735,Paan Corner,Fem Fairness Naturals Hair Removal Cream Fair & Soft - Rose,65,10,6,58,40,FALSE,40
736,Paan Corner,Fem Fairness Naturals Hair Removal Cream Fair & Soft - Gold,65,10,4,58,40,FALSE,40
737,Paan Corner,Colgate Sensitive Everyday Protection Anticavity Toothpaste,75,0,6,75,40,FALSE,40
738,Munchies,Sugarfree Natura Low Calorie Sweetner ,300,10,3,270,42,FALSE,42
739,Cooking Essentials,Sugarfree Natura Low Calorie Sweetner ,300,10,3,270,42,FALSE,42
740,Ice Cream & Desserts,Knorr Sweet Corn Chicken Soup,55,0,2,55,42,FALSE,42
741,Chocolates & Candies,Knorr Sweet Corn Chicken Soup,55,0,2,55,42,FALSE,42
742,Packaged Food,Knorr Sweet Corn Chicken Soup,55,0,2,55,42,FALSE,42
743,Packaged Food,Knorr Chinese Hot And Sour Veg Soup,55,3,1,53,43,FALSE,43
744,Chocolates & Candies,Knorr Chinese Hot And Sour Veg Soup,55,3,1,53,43,FALSE,43
745,Ice Cream & Desserts,Knorr Chinese Hot And Sour Veg Soup,55,3,1,53,43,FALSE,43
746,Paan Corner,Pampers Premium Care Pants - Large,1099,18,2,899,44,FALSE,44
747,Paan Corner,Whisper Ultra Clean Wings XL+  Pouch,449,7,6,415,44,FALSE,44
748,Health & Hygiene,Whisper Ultra Clean Wings XL+  Pouch,449,7,6,415,44,FALSE,44
749,Personal Care,Pampers Premium Care Pants - Large,1099,18,2,899,44,FALSE,44
750,Personal Care,Whisper Ultra Clean Wings XL+  Pouch,449,7,6,415,44,FALSE,44
751,Biscuits,Bauli Moonfils Choco Cream (With Egg),15,0,0,15,45,TRUE,45
752,Biscuits,Bauli Moonfils Orange Puff Roll,15,0,0,15,45,TRUE,45
753,Biscuits,Bauli Moonfils - Vanilla,15,0,0,15,45,TRUE,45
754,Biscuits,Britannia 50-50 Maska Chaska Biscuit,10,0,0,10,46,TRUE,45
755,Biscuits,Bauli Moonfils Strawberry,15,0,5,15,45,FALSE,45
756,Biscuits,Bauli Moonfils Choco Veg Puff Roll,15,0,2,15,45,FALSE,45
757,Health & Hygiene,Himalaya Cold Balm,125,9,6,113,45,FALSE,45
758,Cooking Essentials,Keya Pizza Seasoning,109,17,6,90,45,FALSE,45
759,Cooking Essentials,On1y Salad Seasoning Grinder,139,0,6,139,45,FALSE,45
760,Munchies,On1y Salad Seasoning Grinder,139,0,6,139,45,FALSE,45
761,Munchies,Keya Pizza Seasoning,109,17,6,90,45,FALSE,45
762,Munchies,Saffola Yummy Masala Noodles ,20,0,2,20,46,FALSE,46
763,Cooking Essentials,Saffola Yummy Masala Noodles ,20,0,2,20,46,FALSE,46
764,Ice Cream & Desserts,Smith & Jones Pink Pasta Sauce Mix,40,0,4,40,46,FALSE,46
765,Ice Cream & Desserts,Smith & Jones Red Pasta Sauce Mix,40,0,6,40,46,FALSE,46
766,Chocolates & Candies,Smith & Jones White Pasta Sauce Mix,40,0,3,40,46,FALSE,46
767,Chocolates & Candies,Saffola Yummy Masala Noodles ,20,0,2,20,46,FALSE,46
768,Chocolates & Candies,Smith & Jones Pink Pasta Sauce Mix,40,0,4,40,46,FALSE,46
769,Chocolates & Candies,Smith & Jones Red Pasta Sauce Mix,40,0,6,40,46,FALSE,46
770,Packaged Food,Smith & Jones White Pasta Sauce Mix,40,0,3,40,46,FALSE,46
771,Packaged Food,Saffola Yummy Masala Noodles ,20,0,2,20,46,FALSE,46
772,Packaged Food,Smith & Jones Pink Pasta Sauce Mix,40,0,4,40,46,FALSE,46
773,Packaged Food,Smith & Jones Red Pasta Sauce Mix,40,0,6,40,46,FALSE,46
774,Ice Cream & Desserts,Saffola Yummy Masala Noodles ,20,0,2,20,46,FALSE,46
